Tiempo_Simulado(s),Posicion_X,Posicion_Y
19.2503,270.7692,630.0000
19.3003,270.8715,630.0000
19.3503,270.9738,630.0000
19.4003,271.0761,630.0000
19.4503,271.1785,630.0000
19.5003,271.2808,630.0000
19.5503,271.3831,630.0000
19.6003,271.4854,630.0000
19.6503,271.5878,630.0000
19.7003,271.6901,630.0000
19.7503,271.7919,630.0000
19.8003,271.8918,630.0000
19.8503,271.9906,630.0000
19.9003,272.0893,630.0000
19.9503,272.1860,630.0000
20.0003,272.2794,630.0000
20.0504,272.3701,630.0000
20.1004,272.4590,630.0000
20.1504,272.5471,630.0000
20.2004,272.6351,630.0000
20.2504,272.7231,630.0000
20.3004,272.8111,630.0000
20.3504,272.8991,630.0000
20.4004,272.9872,630.0000
20.4504,273.0752,630.0000
20.5004,273.1632,630.0000
20.5504,273.2512,630.0000
20.6004,273.3392,630.0000
20.6504,273.4272,630.0000
20.7004,273.5152,630.0000
20.7504,273.6032,630.0000
20.8004,273.6913,630.0000
20.8504,273.7793,630.0000
20.9004,273.8673,630.0000
20.9504,273.9553,630.0000
21.0004,274.0433,630.0000
21.0504,274.1313,630.0000
21.1004,274.2241,630.0000
21.1504,274.3272,630.0000
21.2004,274.4392,630.0000
21.2504,274.5561,630.0000
21.3004,274.6746,630.0000
21.3504,274.7932,630.0000
21.4004,274.9117,630.0000
21.4504,275.0303,630.0000
21.5004,275.1489,630.0000
21.5504,275.2674,630.0000
21.6004,275.3860,630.0000
21.6504,275.5045,630.0000
21.7004,275.6231,630.0000
21.7504,275.7417,630.0000
21.8004,275.8602,630.0000
21.8504,275.9788,630.0000
21.9004,276.0974,630.0000
21.9504,276.2159,630.0000
22.0004,276.3345,630.0000
22.0504,276.4530,630.0000
22.1004,276.5716,630.0000
22.1504,276.6902,630.0000
22.2004,276.8087,630.0000
22.2504,276.9273,630.0000
22.3004,277.0458,630.0000
22.3504,277.1644,630.0000
22.4004,277.2830,630.0000
22.4504,277.4015,630.0000
22.5004,277.5201,630.0000
22.5504,277.6386,630.0000
22.6004,277.7572,630.0000
22.6504,277.8758,630.0000
22.7004,277.9943,630.0000
22.7504,278.1129,630.0000
22.8004,278.2314,630.0000
22.8504,278.3500,630.0000
22.9004,278.4745,629.9963
22.9504,278.6311,629.9701
23.0004,278.8174,629.9258
23.0504,279.0183,629.8848
23.1004,279.2216,629.8649
23.1504,279.4250,629.8694
23.2004,279.6284,629.8984
23.2504,279.8318,629.9520
23.3004,280.0351,629.9945
23.3504,280.2385,629.9911
23.4004,280.4419,630.0000
23.4504,280.6452,630.0000
23.5004,280.8486,630.0000
23.5504,281.0520,630.0000
23.6004,281.2553,630.0000
23.6504,281.4587,630.0000
23.7004,281.6621,630.0000
23.7504,281.8654,630.0000
23.8004,282.0688,630.0000
23.8504,282.2722,630.0000
23.9004,282.4756,630.0000
23.9504,282.6789,630.0000
24.0004,282.8823,630.0000
24.0504,283.0857,630.0000
24.1004,283.2890,630.0000
24.1504,283.4924,630.0000
24.2004,283.6958,630.0000
24.2504,283.8991,630.0000
24.3004,284.1025,630.0000
24.3504,284.3059,630.0000
24.4004,284.5092,630.0000
24.4505,284.7126,630.0000
24.5005,284.9160,630.0000
24.5505,285.1194,630.0000
24.6005,285.3227,630.0000
24.6505,285.5261,630.0000
24.7005,285.7295,630.0000
24.7505,285.9328,630.0000
24.8005,286.1362,630.0000
24.8505,286.3396,630.0000
24.9005,286.5429,630.0000
24.9505,286.7463,630.0000
25.0005,286.9497,630.0000
25.0505,287.1530,630.0000
25.1005,287.3564,630.0000
25.1505,287.5598,630.0000
25.2005,287.7632,630.0000
25.2505,287.9665,630.0000
25.3005,288.1699,630.0000
25.3505,288.3733,630.0000
25.4005,288.5766,630.0000
25.4505,288.7800,630.0000
25.5005,288.9834,630.0000
25.5505,289.1867,630.0000
25.6005,289.3901,630.0000
25.6505,289.5935,630.0000
25.7005,289.7968,630.0000
25.7505,290.0002,630.0000
25.8005,290.2036,630.0000
25.8505,290.4070,630.0000
25.9005,290.6103,630.0000
25.9505,290.8137,630.0000
26.0005,291.0171,630.0000
26.0505,291.2204,630.0000
26.1005,291.4238,630.0000
26.1505,291.6272,630.0000
26.2005,291.8305,630.0000
26.2505,292.0339,630.0000
26.3005,292.2373,630.0000
26.3505,292.4409,630.0000
26.4005,292.6461,630.0000
26.4505,292.8525,630.0000
26.5005,293.0591,630.0000
26.5505,293.2656,630.0000
26.6005,293.4722,630.0000
26.6505,293.6788,630.0000
26.7005,293.8853,630.0000
26.7505,294.0919,630.0000
26.8005,294.2985,630.0000
26.8505,294.5051,630.0000
26.9005,294.7116,630.0000
26.9505,294.9182,630.0000
27.0005,295.1245,630.0000
27.0505,295.3256,630.0000
27.1005,295.5192,630.0000
27.1505,295.7071,630.0000
27.2005,295.8928,630.0000
27.2505,296.0896,630.0000
27.3005,296.2930,630.0000
27.3505,296.4970,630.0000
27.4005,296.7010,630.0000
27.4505,296.9050,630.0000
27.5005,297.1090,630.0000
27.5505,297.3130,630.0000
27.6005,297.5171,630.0000
27.6505,297.7211,630.0000
27.7005,297.9251,630.0000
27.7505,298.1291,630.0000
27.8005,298.3331,630.0000
27.8505,298.5371,630.0000
27.9005,298.7411,630.0000
27.9505,298.9451,630.0000
28.0005,299.1491,630.0000
28.0505,299.3533,630.0000
28.1005,299.5603,630.0000
28.1505,299.7695,630.0000
28.2005,299.9793,630.0000
28.2505,300.1962,630.0000
28.3005,300.4235,629.9995
28.3505,300.6659,630.0000
28.4005,300.9189,630.0000
28.4505,301.1763,630.0000
28.5005,301.4341,630.0000
28.5505,301.6928,630.0000
28.6005,301.9607,630.0000
28.6505,302.2391,630.0000
28.7005,302.5246,630.0000
28.7505,302.8130,630.0000
28.8006,303.1068,629.9977
28.8506,303.4241,629.9852
28.9006,303.7606,629.9702
28.9506,304.1058,629.9673
29.0006,304.4525,629.9872
29.0506,304.7993,629.9980
29.1006,305.1460,630.0000
29.1506,305.4927,630.0000
29.2006,305.8394,630.0000
29.2506,306.1861,630.0000
29.3006,306.5328,630.0000
29.3506,306.8795,630.0000
29.4006,307.2262,630.0000
29.4506,307.5729,630.0000
29.5006,307.9196,630.0000
29.5506,308.2664,630.0000
29.6006,308.6131,630.0000
29.6506,308.9598,630.0000
29.7006,309.3065,630.0000
29.7506,309.6532,630.0000
29.8006,309.9999,630.0000
29.8506,310.3466,630.0000
29.9006,310.6933,630.0000
29.9506,311.0400,630.0000
30.0006,311.3867,630.0000
30.0506,311.7335,630.0000
30.1006,312.0802,630.0000
30.1506,312.4269,630.0000
30.2006,312.7736,630.0000
30.2506,313.1150,630.0000
30.3006,313.4378,629.9950
30.3506,313.7413,629.9860
30.4006,314.0339,629.9853
30.4506,314.3236,629.9993
30.5006,314.6133,630.0000
30.5506,314.9030,630.0000
30.6006,315.1988,629.9962
30.6506,315.5287,629.9673
30.7006,315.8903,629.9179
30.7506,316.2674,629.8707
30.8006,316.6472,629.8442
30.8506,317.0270,629.8423
30.9006,317.4068,629.8648
30.9506,317.7867,629.9119
31.0006,318.1665,629.9835
31.0506,318.5463,629.9884
31.1006,318.9261,629.9932
31.1506,319.3059,630.0000
31.2006,319.6858,630.0000
31.2506,320.0656,630.0000
31.3006,320.4454,630.0000
31.3506,320.8252,630.0000
31.4006,321.2050,630.0000
31.4506,321.5849,630.0000
31.5006,321.9647,630.0000
31.5506,322.3445,630.0000
31.6006,322.7243,630.0000
31.6506,323.1042,630.0000
31.7006,323.4838,630.0000
31.7506,323.8509,630.0000
31.8006,324.2064,630.0000
31.8506,324.5597,630.0000
31.9006,324.9130,630.0000
31.9506,325.2664,630.0000
32.0006,325.6197,630.0000
32.0506,325.9730,630.0000
32.1006,326.3264,630.0000
32.1506,326.6797,630.0000
32.2006,327.0330,630.0000
32.2506,327.3864,630.0000
32.3005,327.7397,630.0000
32.3505,328.0930,630.0000
32.4005,328.4464,630.0000
32.4505,328.7997,630.0000
32.5005,329.1530,630.0000
32.5505,329.5063,630.0000
32.6005,329.8597,630.0000
32.6505,330.2130,630.0000
32.7005,330.5663,630.0000
32.7504,330.9197,630.0000
32.8004,331.2730,630.0000
32.8504,331.6263,630.0000
32.9004,331.9797,630.0000
32.9504,332.3225,629.9980
33.0004,332.6414,629.9993
33.0504,332.9548,630.0000
33.1004,333.2682,630.0000
33.1503,333.5816,630.0000
33.2003,333.8950,630.0000
33.2503,334.2084,630.0000
33.3003,334.5218,630.0000
33.3503,334.8351,630.0000
33.4003,335.1485,630.0000
33.4503,335.4619,630.0000
33.5003,335.7753,630.0000
33.5502,336.0887,630.0000
33.6002,336.4021,630.0000
33.6502,336.7210,629.9998
33.7002,337.0575,629.9988
33.7502,337.4094,630.0000
33.8002,337.7698,630.0000
33.8502,338.1323,630.0000
33.9002,338.4948,630.0000
33.9501,338.8573,630.0000
34.0001,339.2198,630.0000
34.0501,339.5823,630.0000
34.1001,339.9449,630.0000
34.1501,340.3074,630.0000
34.2001,340.6699,630.0000
34.2501,341.0324,630.0000
34.3001,341.3949,630.0000
34.3500,341.7574,630.0000
